name,organization,description,opportunity_type,check_size_min,check_size_max,stage,sectors,website,chicago_focused,location
100KM Ventures,100KM Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://100kmvc.com,False,
11 Tribes Ventures,11 Tribes Ventures,"Based in Chicago, IL. Focuses on Marketplace. Invests at Seed stage.",vc,1000000.0,5000000.0,seed,Marketplace,,True,"Chicago, IL"
20VC,20VC,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.thetwentyminutevc.com,False,
2Flo Ventures,2Flo Ventures,"Based in Chicago, IL. Focuses on Healthcare. Invests at Seed stage.",vc,,,seed,Healthcare,,True,"Chicago, IL"
3x5 Partners,3x5 Partners,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
53 Stations,53 Stations,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
7wire Ventures,7wire Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
8VC,8VC,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.8vc.com,False,
AAVIN Private Equity,AAVIN Private Equity,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Abstraction Capital,Abstraction Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Abundant Venture Partners,Abundant Venture Partners,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Accenture,Accenture,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Access Ventures,Access Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.accessventures.org,False,
Act One Ventures / Investor,Act One Ventures / Investor,"Based in Los Angeles, CA. Focuses on AI. Invests at Seed stage.",vc,,,seed,AI,,False,"Los Angeles, CA"
Acumen America,Acumen America,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://acumenamerica.org,False,
Adams Street Partners LLC,Adams Street Partners LLC,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
Adquizition and Extraordinary Capital,Adquizition and Extraordinary Capital,"Based in Chicago, IL. Focuses on Tech. Invests at Pre-Seed, Seed stage.",angel,0.0,250000.0,"pre-seed,seed",Tech,,True,"Chicago, IL"
Advantage Capital,Advantage Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Ag Startup Engine,Ag Startup Engine,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Ag Ventures Alliance,Ag Ventures Alliance,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Aglaé Ventures,Aglaé Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.aglaeventures.com,False,
Agman Partners,Agman Partners,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
Airtree Ventures,Airtree Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.airtree.vc,False,
AJ Tomas,AJ Tomas,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
ALEX GOLOD,ALEX GOLOD,Based in Alex. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Alex
Allegory Capital,Allegory Capital,"Focuses on AI, Healthcare, SaaS, B2B. Invests at Seed stage.",vc,,,seed,"AI,Healthcare,SaaS,B2B",,False,
Allianz Life,Allianz Life,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Altos Ventures,Altos Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.altos.vc,False,
Alumni Ventures,Alumni Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.av.vc,False,
Amanda DeMano,Amanda DeMano,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Amplifica Capital,Amplifica Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.amplifica.capital,False,
Amplifyer Ventures,Amplifyer Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Andreessen Horowitz,Andreessen Horowitz,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.a16z.com,False,
andrew annacone,andrew annacone,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Andrew Schoen,Andrew Schoen,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",,False,
Angel Investor,Angel Investor,"Based in Chicago, IL. Focuses on AI, FinTech, InsurTech. Invests at Seed stage.",angel,0.0,250000.0,seed,"AI,FinTech,InsurTech",,True,"Chicago, IL"
Angeles Investors,Angeles Investors,Focuses on Tech. Invests at Seed stage.,angel,,,seed,Tech,,False,
Ankith Jain,Ankith Jain,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Annie Wayda,Annie Wayda,Based in Annie. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Annie
April Welch,April Welch,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
ARC Capital Management LLC,ARC Capital Management LLC,"Based in New York City, NY. Focuses on AI, FinTech, Biotech. Invests at Pre-Seed, Seed stage.",vc,,,"pre-seed,seed","AI,FinTech,Biotech",,False,"New York City, NY"
Arch Grants,Arch Grants,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
ARCH Venture Partners,ARCH Venture Partners,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
Ardent Capital,Ardent Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Ariella Frank,Ariella Frank,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
ArkStream Capital,ArkStream Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://arkstream.capital,False,
Arsenal Capital Management,Arsenal Capital Management,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Arthington Properties LLC,Arthington Properties LLC,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Ascend Venture Capital,Ascend Venture Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Ascension Ventures,Ascension Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Ascent Capital Holdings,Ascent Capital Holdings,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
ASCVC,ASCVC,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.ascvc.com,False,
Ashley Reid,Ashley Reid,Based in Ashley. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Ashley
Asset Management Ventures,Asset Management Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.assetman.com,False,
Astia Fund,Astia Fund,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Astir Ventures,Astir Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.astir.vc,False,
Augment Ventures,Augment Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.augmentventures.com,False,
