name,website,description,location,stage,all_stages,check_size,focus_areas,source
10H Capital,www.10hcapital.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
14bis Supply Tracking,www.14bis.aero,,,,,,,Foodtech Investor List
1871,www.1871.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
1871/Bunker Labs Veteran Accelerator,https://www.bunkerlabs.org/,,,,,,,Non-Dilutive Capital Master
2048 Ventures,https://airtable.com/appV89PYGo3zN47f9/pagNjeYwHGDSGIs3/form,,Global,preseed,Pre-seed,$250k-$750k,"AI/Data, B2B/SaaS, Hardtech",Equity Funding Master
350 North Orleans,,Creative community hub with river views and rooftop deck,River North,,,,,Dilutive Capital Resources
43North,https://www.43north.org/,,,,,,,Non-Dilutive Capital Master
53 Stations,https://www.53stations.com/,"Seed to Series B in tech-forward companies across AI, enterprise software, logistics, healthtech, fintech.",Chicago,seed,"seed,Series A",$500K-$5M,"AI, Enterprise, Logistics, HealthTech, FinTech",Equity Funding Master
7wire Ventures,https://www.7wireventures.com/,"Healthcare-focused VC investing in digital health, healthcare IT, and services. Most active healthcare investor in Midwest.",Chicago,Series A,"seed,Series A,Series B",$5M-$15M,"Digital health, Healthcare IT",Equity Funding Master
8VC,https://www.8vc.com/,,,,,,,T4G Investor List
A1 Health Ventures,www.a1healthventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
a11y Capital,https://www.a11ycapital.com/,Supporting startups building accessible products for people with disabilities.,National,seed,seed,$100K-$1M,"Accessibility, Disability inclusion",Equity Funding Master
AAUW Career Development Grants,https://www.aauw.org/,,,,,,,Non-Dilutive Capital Master
Abundant Venture Partners,https://www.abundantventurepartners.com/venture-studio/#venture-studio-contact,Chicago,"Chicago, IL",seed,Studio/Seed,,"Health/Med, B2B/SaaS",Equity Funding Master
ADM Ventures,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Agri Corps,agricorps.org,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
AIT Worldwide Logistics,www.aitworldwide.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Alector (Former),www.alector.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Alignpact,www.alignpact.com,,,,,,,Created from contacts (Active VCs CVCs)
Alumni Ventures,https://www.av.vc/,,,,,,,T4G Investor List
Amber Grant,https://ambergrantsforwomen.com/,,,,,,,Non-Dilutive Capital Master
Amber Grant for Women,https://ambergrantsforwomen.com/,,,,,,,Non-Dilutive Capital Master
American Family Institute Innovation Grant,https://www.amfam.com/,,,,,,,Non-Dilutive Capital Master
American Underground - Launch Challenge,https://www.americanunderground.com/,,,,,,,Non-Dilutive Capital Master
Amplifyher Ventures (Top 5),https://www.amplifyherventures.com/,,,,,,,T4G Investor List
Angeles Investors,https://angelesinvestors.com/,Focus on Latino/Latina founders.,Global,preseed,preseed,$25K-$100K,Latino/Latina founders,Equity Funding Master
Arch Grants,https://archgrants.org/,,,,,,,Non-Dilutive Capital Master
Arch Venture Partners,https://www.archventure.com/,"Life science VC focused on preventing, detecting, and curing disease.",Chicago,Series A,"seed,Series A,Series B",$5M-$30M,Life sciences,Equity Funding Master
Arundel Way Partners,arundelwaypartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Asymmetric Capital Partners (Top 5),https://www.acp.vc/,,,,,,,T4G Investor List
Asymmetry Ventures (Top 5),https://asymmetry.vc/,,,,,,,T4G Investor List
AutoMetrics,autometrics.ca,,,,,,,Foodtech Investor List
Automotive Ventures,https://www.automotiveventures.com/,,,,,,,T4G Investor List
Autotech Ventures (Top 5),https://www.autotechvc.com/,,,,,,,T4G Investor List
Awaken Capital,www.awakencap.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Awesome Foundation,https://www.awesomefoundation.org/,,,,,,,Non-Dilutive Capital Master
AWS Activate,https://aws.amazon.com/activate/,,,,,,,Non-Dilutive Capital Master
B Capital Group (Top 5),https://b.capital/,,,,,,,T4G Investor List
Babelus,babelus.com,,,,,,,Foodtech Investor List
Backstage Capital Accelerator,https://backstagecapital.com/,,,,,,,Non-Dilutive Capital Master
Bain Capital Life Sciences,www.baincapitallifesciences.com,,,,,,,Created from contacts (Active VCs CVCs)
Baird Capital,https://www.bairdcapital.com/investment-strategies/venture-capital/,Growth stage,Global,Series A+,Growth/Series B+,,"Software, Healthcare, Consumer, Industrial Tech",Equity Funding Master
Bar 9 Ventures,www.bar9ventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Barrel Ventures,https://www.barrelvc.com/,Seed and Series A investments in food & beverage and consumer CPG.,Chicago,seed,"seed,Series A",$500K-$5M,"Food & Beverage, CPG",Equity Funding Master
Bay City Capital,www.baycitycapital.com,,,,,,,Created from contacts (Active VCs CVCs)
Baylor New Venture Competition - Round 2,https://hankamer.baylor.edu/baugh-center/new-venture,,,,,,,Non-Dilutive Capital Master
BBG Ventures (Top 5),https://www.bbgventures.com/,,,,,,,T4G Investor List
Ben Jen Holdings,www.benjenholdings.com,,,,,,,Created from contacts (Active VCs CVCs)
Beta Boom,https://www.betaboom.com/apply,Founders who defy Silicon Valley mold,Global,preseed,Pre-seed,$350k-$500k,Software,Equity Funding Master
Bill & Melinda Gates Foundation,www.gatesfoundation.org,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Biopath Ventures (Former),www.biopathvc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Bloomberg,www.bloomberg.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Blue Venture Fund,blueventurefund.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Blueprint Labs,blueprint.bryanjohnson.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Bluestein Ventures,https://bluesteinventures.com,"Food tech VC investing in future of food, foodtech, B2C and B2B food brands. $45M Fund III.",Chicago,seed,seed,$500K-$3M,"Food tech, CPG, F&B",Equity Funding Master
BlueStone Venture Partners,www.bluestonevp.com,,,,,,,Created from contacts (Active VCs CVCs)
Bond Collective – The Loop,,"Luxury riverfront space with craft coffee/beer, mother's rooms, and nationwide access passes",Civic Opera Building,,,,,Dilutive Capital Resources
Boston Consulting Group,www.bcg.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Boulder Investment Group Reprise,www.bigrventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Boundless Bio,www.boundlessbio.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
BoxGroup,https://www.boxgroup.com/,,,,,,,T4G Investor List
BrainTrust Fund,https://www.thebraintrust.com/home,,,,,,,T4G Investor List
Bridge Venture Fund,https://www.bridgeventurefund.com/,Early-stage technology companies in the Midwest.,Midwest,seed,seed,$250K-$2M,"Midwest tech, Early-stage",Equity Funding Master
Bright Ventures,www.brightventures.io,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Builders VC,https://www.builders.vc,Modernizing antiquated industries with technology and innovative solutions.,Chicago,Series A,"seed,Series A,Series B",$2M-$10M,"Industry transformation, B2B",Equity Funding Master
Builders VC (Top 5),https://www.builders.vc/,,,,,,,T4G Investor List
BVF (Blue Venture Fund),https://blueventurefund.com,Life sciences and healthcare technology investor.,Chicago,Series A,"seed,Series A,Series B",$2M-$10M,"Life sciences, Biotech",Equity Funding Master
Cadence Consulting,www.cadenceconsulting.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Calculum Inc,calculum.ai,,,,,,,Foodtech Investor List
California Resources,www.crc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Capita3,https://www.capita3.com/,,,,,,,T4G Investor List
Capital One Business Grants,https://www.capitalone.com/,,,,,,,Non-Dilutive Capital Master
Capitalize VC,https://airtable.com/apppvODtMSw09eCae/pagCPM2mBqQUDmmmY/form,Chicago,"Chicago, IL",preseed,Pre-seed/Seed,,Commerce-enabled Tech,Equity Funding Master
